narrator,"fade in: close on a massive steel head our first thought: dr. doom? but its not moving. a welders torch sparks into frame in the hands of a sculptor on scaffolding. this is art, an epic 20 foot statue going up of a business mogul (victor von doom) in whose generously extended hands sit two intertwined columns of dna. his face is chiseled, angular, perfect (too perfect). past sparks, we move down to pick up... ext. street/von doom industries tower - day reed richards and ben grimm head toward the soaring glass-box atrium of vdi headquarters. designed to inspire awe, it does."
reed,"high open space, exposed structural elements. obviously aimed at first time visitors to create feelings of... smallness, inadequacy."
narrator,"ben glances at reed, who looks a little nervous."
ben,"good thing it aint workin... reed, what are we doing here? this guys fast-food, strip-mall science --"
reed,"this wasnt our first stop, in case you forgot nasa. and victors not that bad. hes just a little... (seeing the statue) larger than life."
narrator,"int. von doom industries tower - day they move past the statue, into the sprawling atrium."
reed,hes financed some of the biggest breakthroughs of this century.
ben,youd never know it.
narrator,"he motions to a high-tech orb, showing footage of vdis accomplishments: a safe and clean nuclear facility, the first private space station. all images have victor front and center, glad-handling george bush, tony blair, shady international leaders. the last image is victor holding the americas cup."
ben,jesus. that too?
narrator,they reach three stern receptionists.
reed,reed richards and ben grimm to see --
narrator,"a receptionist cuts him off, handing them each a pass."
female receptionist,"executive elevator, top floor."
ben,whats the price for a smile round here?
narrator,"they head for the elevator. reed carries a small, black box. as they enter the elevator, steel doors shut and we cut to -- int. von doom industries tower - office - day a large, dark office. ben in the corner. he yawns, watches... bright holograms: stars. planets. they hover in the air, making the room feel like a majestic portal into outer space."
reed,my research suggests that exposure to a high-energy cosmic storm born on solar winds might have triggered the evolution of early planetary life.
narrator,"reed stands among the holograms, speaking to a mysterious figure in shadow behind a desk. an ominous, pulsating red cloud covers the stars. it washes over a hologram of earth."
reed,"in six weeks another cloud with the same elemental profile will pass earths orbit. a study in space could advance our knowledge about the structure of the human genome, and help cure countless diseases, extend human life --"
narrator,"the shadow clears his throat. reed speeds up, emotional."
reed,"give kids the chance to be stronger, healthier, less prone to --"
shadowed figure,turn it off. please.
narrator,the figures deep voice pierces the darkness.
reed,but i havent fully explained my --
shadowed figure,yes you have... imagination. creativity. passion. those were always your trademarks.
narrator,"lights brighten, revealing the face behind the voice: victor von doom. 35, handsome, commanding. he looks almost... airbrushed. he drops a wired magazine to the desk. reed is on the cover over the words: richards bankrupt, grant cutbacks."
victor,"but dreams dont pay the bills, do they? (a condescending smile) same old reed, the hopeless optimist. still reaching for the stars, with the world on your back."
reed,you remember in school we talked about working together. thats what i was about to explain...
narrator,"reed presses the remote. another hologram appears: a shuttle slowly approaching an orbiting space station. both bear the von doom industries logo. victor smiles, more intrigued."
victor,"so its not my money you want. its my toys... tell me: if nasa doesnt trust you, why should i?"
narrator,"victor is a step ahead. reed pauses, thrown for a beat. ben wakes up, suspicious. victor notices. he notices everything."
victor,thats my job. to stay a step ahead. to know what other men dont.
narrator,"ben gets close to reed, turning toward the door."
ben,i cant take this.
reed,"(low, quiet) ben. this is business. just work."
narrator,"a beat. victor cracks a smile, enjoying the tension. and..."
sue,"hes right, ben."
narrator,"they turn to see...sue storm (demure, stunning) standing in a corner...possibly for the whole presentation. a little cold:"
sue,its just business.
victor,"i think you both know my director of genetic research, susan storm."
ben,"heya susie. (under breath, to reed) one more thing hes got."
narrator,"sue gracefully walks into the office, only taking her eyes off of reed to give ben a warm hug."
sue,"ben, its been too long."
