iron man,"sorry, surfer-dude, but youre headed for a wipe-out."
nick fury,"iron man... im reading an incoming ship. watch out, its about to open fire!"
iron man,whoh! whoa! oohhhh!
nick fury,"tony, are you alright?"
iron man,"ow, ow and more ow."
nick fury,hmm. (at dooms castle)
dr. doom,"with these cosmic bricks, the world will be mine to rule! but first i should probably it from prevent it from being destroyed."
???,this would been much easier had you captured the board intact rather than blasting it to pieces.
dr. doom,the avengers showed up. they know how to ruin every good evil plan.
???,your plan is... fantastic.
dr. doom,"a poor choice of words, god of mischief. i prefer to think of it as spectacular. maybe stupendous. ive hired every villain, bad guy and dark minion i could find to help assemble...doctor dooms doom ray of doom!"
???,"sort of a mouthful, but alright. speaking of that..."
dr. doom,"silence! now, we must track down more of these cosmic bricks to build my weapon."
???,"as you command, oh most doom-one full one. (at sand central station)"
abomination,(growls)
sandman,"alright! i let these big-wigs go, once you will bring me some of those... uh... cosmic bricks!"
abomination,why didnt they make me the supervisor here? that guys got sand for brains? (at outside) (iron man arrives)
iron man,holding grand central hostage at rush hour? now thats criminal!
hulk (off-screen),(roars) (hulk arrives)
iron man,"hulk, you have to remember to look... before you leap."
abomination,(growls)
hulk,(roars)
iron man,"i know... bad guys. the s.h.i.e.l.d. folks think we need to formulate a careful plan of attack using... or, we just smash our way in. good plan."
phil coulson ,"(transmission) welcome back to new york, gentlemen!"
iron man,look at this mess! didnt we just clean up this city?
phil coulson,over radio witnesses on the ground say sandmans got hostages in the station!
hulk,sand make hulk maaaad!
iron man,just as well i charged my batteries this morning. i think its going to be a long day. whoah! so thats why that button does...
phil coulson ,over radio looks like youll have to get past abomination to get inside!
iron man,"he threw that car like it was some kind of toy! big guy, you handle this!"
abomination,(roars)
hulk,hulk angry!
sandman,ill give you a hand... or two! hahaha!
phil coulson ,(transmission) theres sand everywhere... but this wont be a day at the beach!
stan lee,excelsior!
phil coulson ,(transmission) hey! its that guy who seems to follow you super heroes around everywhere! you should help stan out whenever you see him in trouble...
sandman,you cant beat me! ive already won hands down! hahaha! we have unscheduled arrival in the main terminal! hahaha!
hulk,hulk hate delays!
phil coulson,"(transmission) hulk, remember you can transform back to normal if you calm down..."
sandman,looks like the writings on the wall for you guys! hahaha!
hulk,walls not good! walls only keep people apart!
iron man,profound... huh! least i know a good spot for beach volleyball next week.
sandman,"looks like im king of the castle, super zeroes! good luck getting past this!"
iron man,"well theres something you dont see every day, a large building i dont own yet."
spider-man,"wow, so much for taking the subway down to the bugle. guess ill just have to fight my way though it."
iron man,whoa!
hulk,(roars)
iron man,"whoa! thanks for swinging by, spider-man."
spider-man,"you avenger guys are really great, at making a mess."
iron man,hey! i just replaced that!
spider-man,"i always knew there was a real buzz around your name, tony, but this is taking a little too far. weve gotta shut of the power!"
iron man,pepper always says i get in my own way!
spider-man,my spider-sense again... what is it?
spider-man,my spider-sense... something close by.
sandman,seems like ive got my hands full with you!
iron man,this guy doesnt give up! lets find a way to take this thing down!
phil coulson,"(transmission) doctor banner, this might be a good time for you to get angry. hulk, remember you can transform back to normal if you calm down..."
sandman,"oh, no... im melting... melting! no, wait... i mean... solidfying... solidfrying... oh, what a world... noooo....!"
spider-man,"i dont need this, i already have enough problems without getting sand in this costume!"
sandman,argh! you think you can stop me? im not pulling any more punches...
spider-man,"this guys attacks are so fast! talk about your quicksand, ive definitely got a sinking feeling right now."
sandman,i hate to hammer a point home but you two just wont take a hint! grr! you got me that time but ill still beat you to the punch!
nick fury,"secure that cosmic brick, coulson. and make sure it gets to the fantastic fours lab for analysis."
phil coulson,"yes, sir. (to hulk) uh, hulk, can you help with some of this debris?"
iron man,youre calling them cosmic bricks?
nick fury,"they came from the sky-surfer you encountered. ive given reed richards the job of finding out why everyone seems to want them. (to spider-man) thanks for your help, spider-man. theres always a place in this operation for a hero like you."
spider-man,"like i have time for that. ive got a trigonometry exam tomorrow, my aunt needs me to pick-up a dozen eggs and im drowning in angst."
iron man,"so, whos behind all this? what exactly are they up to? and will it cut into my hot tub time?"
nick fury,"i dont know - i wish i knew, and yes. tony, get back to stark tower and try to get me some answers. (at prison)"
dr. doom,i must have all the cosmic bricks i can get my hands on!
loki,my work progresses...
dr. doom,progress faster!
loki,"this is what ive been reduced to? relying on such pitful, mortal creatures for my plans? though he does have a cool throne and a metal face. (at s.h.i.e.l.d. helicarrier)"
maria hill,"director fury, reed richards is here."
nick fury,uh... (gasp) mister fantastic himself. and breakthroughs on that cosmic brick i sent you?
mr. fantastic,"actually, i could use some help. is tony stark around?"
nick fury,hes working on something else. i have another avenger here.
captain america,"im actually the first avenger, sir."
mr. fantastic,do you have much experience with theoretical quantum mechanics and exotic nano-derived power sources?
captain america,um... i got a a-plus in american history?
maria hill,"director fury, we have comfirmation that more of those bricks hit the open ocean."
nick fury,"hill, get me a s.h.i.e.l.d. research sub to gather those cosmic bricks. i want some answers! (to captain america) cap, you head to the baxter building with reed richards and help out the best you can."
captain america,i can always sell some war bonds. (at outside)
phil coulson,"(transmission) gentlemen, we need you back at the baxter building pronto. director fury wants as much info on those cosmic bricks as you can find."
maria hill,the top floors of the baxter building are home to the fantastic four. up to date plans are unavailable as reed richards is continuously reconfiguring the layout of his labs.
doctor octopus,"dr. doom, its doctor octopus. i found it. (growls) destroy them, my octobots! (laughs) i wont be stopped by such insignificant creatures."
mr. fantastic,"give it up, octavius! it wont be a stretch to defeat you!"
doctor octopus,octobots... get him!
captain america,"you wont get away with those pieces, doctor octopus!"
doctor octopus,"a most impressive laboratory, doctor richards... for such an inferior intellect. ill be taking my leave now. goodbye, substandard heroes."
mr. fantastic,"hes heading for the roof! lets get after him, cap!"
captain america,an elevator? is this the quickest way to the roof?
mr. fantastic,i... uhh... call it the fantasti-vator. faster than the stairs for sure! lets go!
captain america,there he is!
mr. fantastic,maybe we should think about this...
captain america,no time! if he gets away with those pieces now we might never getem back!
h.e.r.b.i.e.,doctor octopus is getting away! youll need to glide across that gap to catch up with him.
mr. fantastic,"over there, captain! whats the plan?"
captain america,"whenever he goes, we follow! look out! hes releasing more octobots!"
doctor octopus,"i dont think youll be following me across here, heroes!"
captain america,"careful, dr. richards, its a long way down! hes climbing down! we cant reach him from here."
doctor octopus,wait? what are you doing? noooo!!!
j. jonah jameson,parker?! do your job! i want some play for bugle stories on net-thing or inter-face.
peter parker,"yes, sir. net-face."
j. jonah jameson,"you understand the web, dont you?"
peter parker,"the web? yeah, its a job and a hobby."
j. jonah jameson,"doc octopus? youre a real doctor, right? i have a pain right here... down there... oh, and that bit over there, wow!"
doctor octopus,your cheap health plan doesnt cover office visits.
j. jonah jameson,"parker?! parker! i need some footage of this for the website! how hard can it be? i mean, this time the news is coming to us!"
spider-man,"you could record it with your smartphone , jj, if you could figure out how to turn it on. hey, guys."
doctor octopus,youre never going to catch me. youre wasting your time!
captain america,"good thing you happened to be close by spider-man, doc ocks stolen some important materials."
spider-man,yeah. hes real grabby like that. always getting his hands on things. spider-sense again... what is it?
doctor octopus,haha! victory is now within my reach! time step on the spider.
spider-man,"oh, such cruelty. you couldnt wrap me in a paper towel and toss me out in the window?"
doctor octopus,no! what happened? grr...!!! octobots!
spider-man,he seems over-the-top angry. any advice?
mr. fantastic,dont look at me! youre the doc ock expert. wait! hes trapped his arm in the ground! lets attack while he can!
doctor octopus,no! not again! my arm!!! argh! why didnt i see this coming?!! another arm stuck?!! my arms! my beloved mechanical arms! youll surfer for this! get them!!!
captain america,"give it up, crime never pays."
doctor octopus,youd be surprised; it covers medical and dental.
mr. fantastic,"you cant escape the long of reach of justice, ock."
spider-man,"stop being so grabby, doc!"
captain america,i got it!
mr. fantastic,i got it!
spider-man,i got it!
green goblin,"no, i got it! (laughs)"
ego the living planet,hmm.
captain america,"we captured doc ock, but we lost the green goblin."
hawkeye,"dont worry, were tracking him."
black widow,target located.
hawkeye,hes gone to the oscorp building.
captain america,what would green goblin want in a totally legitimate and entirely unsuspicious office tower like oscorp?
mr. fantastic,lets go find out.
hawkeye,"that wont be necessary, mister richards, uh, fantastic, um..."
black widow,"dr. richards... uh, sir, director fury needs you and cap back at the lab."
hawkeye,we need to know more about these special bricks and what they can do.
spider-man,"then, lets try to figure that out. we gotta, because... with great power, comes great responsibility."
phil coulson,"(transmission) green goblin has been sighted entering oscorp. we need you to get there, find him and hopefully get back that cosmic brick..."
black widow,i guess well find our own way to oscorp then...
hawkeye,"well be easy with this mess they left behind. im sure they wont mind if we trash the place a little more... hey, could you grab me a chicken alfredo while youre over there."
black widow,"sure. you want me to pick up your dry cleaning, too? looks like that booth scans for employees..."
hawkeye,"shouldnt be a problem for you, right?"
maria hill,"within the oscorp buildings high security perimeter, norman osborns labs undertake secretive research into radical new chemical and genetic technologies."
spider-man,what took you so long?
green goblin,(laughs)
hawkeye,(groans)
black widow,clint... you shouldnt have! (laughs)
hawkeye,hmm.
black widow,where did green goblin go?
spider-man,"dont worry, the green goblin will be waiting for us."
hawkeye,proceed with caution... we need to find him and that cosmic brick!
green goblin,coming through! ha-hahahahahaaaa!!!
system one,alert! security breach detected! emergency protocols engaged.
black widow,thats not good.
spider-man,my spider-sense is tingling!
green goblin,"need a lift, guys? ha-hahahahaaa!"
system one,caution! possible laboratory break-in confirmed by big explosion. please direct your panic-stricken running to the nearest exit.
spider-man,"attack with an elevator! thats wrong on so many levels. give up the cosmic brick, goblin! games over!"
green goblin,"oh, its just begun, web-brain! catch me if you can!"
hawkeye,hmm. those cameras are triggering the lasers. there must be a way to get past!
green goblin,"hmm. im sorry, but you three dont seem to have the proper visitor passes. hahahaha!"
"black widow, spider-man & hawkeye",(screams)
green goblin,"doom, ill be on my way shortly. hahaha!"
black widow,(screams)
spider-man,(screams)
stan lee,(screams)
hawkeye,(screams)
black widow,(groans)
spider-man,"wow, getting a visitor pass around here is grueling. this stinks!"
black widow,goblin and the cosmic brick will have to wait. we need to get out of this place.
venom,(roars)
spider-man,"oh, great... looks just like symbiote goo..."
hawkeye,open sesame!
black widow,"good work, team. now to get after green goblin! what happened here? the whole labs been abandoned."
hawkeye,seems like the powers out. if we can find a power generator we should be able to get it back online.
system one,power restored to white noise/hiss. caution advised.
spider-man,restored to what? never good when the important part is covered by static.
hawkeye,its almost like theyre... coming out of the walls! did you see it freak out cause of the loud noise? its alien symbiotes all right...
black widow,"be careful what you wish for. spidey, whos hosting the venom symbiote these days?"
venom,"(laughs, screeches)"
hawkeye,"seems like the source of the problem! the flames scared him off! you know, for a totally legitimate..."
black widow,"...and suspicious office tower, this place surprisingly disgusting."
spider-man,you said it.
black widow,you think thats all of them?
spider-man,"uh, no."
hawkeye,i see him.
venom,"we always love running into you, spider-man! what a tangled web we weave. and spider-man! youve brought along a few friends for us to play with!"
spider-man,"guys, meet venom. venom, meet the guys. well, ones a girl."
venom,"were going to save you till last, spider-man! is that the best you can do? were only just getting started!"
system one,emergency containment measures for super top secret symbiote research - activated.
hawkeye,perfect!
venom,youre not leaving here alive!
hawkeye,"green goblin, come on!!!"
green goblin,hahaha!
hawkeye,i knew i shouldve packed my anti-goblin arrows!
spider-man,"lego-las - ha! can you and the other avengers track him down? ive gotta do dishes, homework, explain to my girlfriend why im always, always leaving her waiting at coffee places. i mean, my life is really hard."
nick fury,tell me you got the brick?
hawkeye,"sorry, sir. green goblin got away."
nick fury,coulson.
nick fury,tell me youve found something...
tony stark,"well, besides going though about 100 keyboards for hulk, ive gone through some of my space data about that silver surfer we encountered. he was filthy with power cosmic."
nick fury,i was afraid of that.
tony stark,and ive tracked the silver surfers power signature from that mystery ship. looks like they landed in latveria.
nick fury,latveria? that means doctor doom.
maria hill,"sir, we have a break-in at the raft..."
nick fury,"iron man, hulk... youre up."
tony stark,"okay sir, well get right on it."
phil coulson,(transmission) why would someone break in to the raft? youd better check it out asap!
iron man,"great, the ferrys outta commission. and you exceed the weight limit for me to fly you over there."
hulk,hulk scared of heights!
iron man,...and theres that. maybe we can fix this boat up...
captain,"nice work - you fixed the ferry! my family-friendly rykers island ferry tour is back in business! if youre gonna ride, though, youre gonna need to show me a ticket. rules is rules!"
hulk,hulk smash puny ticket man!
iron man,"hey-hey-hey! save those hulk-smashes for the bad guys, right? lets get ourselves a ticket."
captain,"got your ticket? then hop aboard, friend! next stop... prison."
iron man,"and if you look to the left, youll see the fabulous x-mansion, while on the right..."
hulk,hulk need the bathroom. iron man really? you couldnt have gone before we left?
maria hill,"located off manhattans east coast, the highest security area of rykers island maximum security penitentiary is known as the raft. looking for the worst in super-villainy? youll find them here."
iron man,my sensors are detecting movement on the other side of this wall.
wolverine,"let go of me, bub!"
hulk,hulk smash ugly sideburns!
iron man,"hulk, drop. you should know by now hes one of the good guys. even doesnt smell like one. shouldnt you be in canada, uncovering your past or something?"
wolverine,tracked sabretooth here. chuck says dooms got the brotherhood of mutants helping him out.
iron man,doing what? lets go!
wolverine,"lets go, tin-man! sabretooths scent leads the way..."
hulk,hulk hate rain!
wolverine,"should a brought an umbrella, bub!"
hulk,gah! hulk no like bright light!
