narrator,"fade in: int. professor ock""s private physics laboratory, the cyclotron room (credit sequence) - day a mighty warning klaxon assaults our ears. a flashing red warning light stabs our eyes. several dials go into the red. a hand pushes aside a yellow thermos and pushes forward a red power throttle. we hear the whining up of a cyclotron. a digital dial climbs to ""5% power."" a spider crawls across a dial. begin opening credits. the cyclotron room is in an old basement full of peeling paint and plumbing wrapped with tape. leaks are here and there. cobwebs are all around. doctor otto octavius (ock) is a strong but strange featured man in his mid-fifties. his assistant, weiner, hovers nearby looking on. hes open mouthed with a mindless kind of curiosity. weiner is a local, small-time hood hired by ock to circumvent the school administration and to ""procure"" whatever ock needs for his experiments. he shades his eyes against a searing blue-white beam that erupts from the window. the room is divided into a control room and the experiment chambers."
weiner,"whoa, whoa, whoa... whats that?"
narrator,"with a whoosh, the window explodes, showering the two with shards of glass, and throwing them to the floor."
ock,(rising) we begin again... lets kick in that new transducer. see if we can double the power output.
weiner,"(rising more slowly) whoa, doc... wait a minute..."
narrator,"but ock is already at the throttle. the cyclotron whirls up. the lights go on. louder, brighter than before. ock looks through the broken window into the experimental chamber. the power dial inches upward, ""eight, nine..."" the blue-white light is blinding now. the whine pitch is shattering. end opening credits."
ock,okey... dokey!
narrator,"the power dial hits ten. ext. empire state university - day as students go to class, the sound of the cyclotron spills out of the science center onto the grounds of empire state university. we see peter parker, a pleasant faced senior whos among the top in his class. sincere and serious, he has yet to develop a way with women."
liz,(falling in step) hiya peter...
narrator,liz allen is also a senior. shes beautiful and intelligent.
peter,(ardent but uncomfortable) hiya liz... howre you doing...?
liz,(teasing softly) howm i doing what?
harry,peter! peter! wait up!
narrator,"harry is the school nerd. a quirky kid who, like peter, can be a little backward around girls, especially pretty ones like liz."
harry,"(to liz) would you, uh... excuse us for a minute?"
narrator,"despite peters protesting body language, harry pulls him away like a conspirator."
peter,what is it? what...
harry,did the astro-physics journal really accept your paper?
peter,"(laughs, embarrassed) yeah... well... all i gots the data but theyve agreed to publish it when its finished. you know... its my calculation on the planetary conjunction."
harry,and its influence on the anti-force. isnt it?
peter,"yes. look, harry, i am busy with... (indicates liz standing there)"
harry,"yeah, you and the rest of the class. every one is busy with liz."
liz,(growing impatient) peter?
narrator,a hand reaches in and smacks her bottom.
flash,"hiya, cupcakes..."
liz,(elbowing him affectionately) flash...!
narrator,they kiss and walk away.
harry,(sneering) and flash is the busiest of them all...
peter,"(disappointed) come on, harry... well be late for octavius."
narrator,harry makes a gesture dismissing ock as crazy.
harry,"ock is nuts, dont you agree?"
peter,"ock is a genius, harry. crazy, yes! but, a genius misunderstood, and unappreciated."
