Richard Parker,"People will say that Im a monster for what Ive done, and maybe theyre right. I always thought that Id have more time... [hes interrupted by a young Peter calling out to him] Peter! [he enters his office to find that it has been ransacked with Peter standing behind his desk] [Richard takes his family to his sisters and we see Mary Parker saying goodbye to Peter]"
Mary Parker,He likes to sleep with a little light on at night.
Richard Parker,"Mary, we have to go. [Richard and Mary go to leave the house when Peter grabs Richards hand]"
Young Peter Parker,Dad.
Richard Parker,"Be good.[Richard lets go of Peters hand and shuts the door front door, Peter watches his parents walks away; we see Richard and Mary are on a private jet]"
Mary Parker,I found a safe place for us to spend the night at Lake Geneva. [Richard is uploading project files from his laptop] Are you uploading it?
Richard Parker,"To Roosevelt folder, just in case we... [Mary looks out the window with worry] Were gonna be fine, Mary."
Mary Parker,Did you see his face? Hes never gonna understand.
Richard Parker,"Mary, weve been through this. Our life, as we know it, is over. Were gonna spend every day from now on looking over our shoulders and never feeling safe. We cant do that to him."
Mary Parker,Hes just a little boy.
Richard Parker,I know. I know. [Richard holds Marys hand] Its going to be okay. [Mary begins to cry] Its going to be alright. [Mary wipes her tears and gets up to go to the bathroom] [as Mary pops into the bathroom the co-pilot steps out of the cockpit]
G-5 Co-Pilot,"No rest for the weary, huh?"
Richard Parker,"No, Im afraid not."
G-5 Co-Pilot,"Occupational hazard, I guess. [as Richard is typing into his laptop] What is it youre working on? [Richard looks at the pilot with suspicion as he washes his hand in the side sink]"
Richard Parker,Uh...just-just planning ahead. Do you think I could speak with the pilot?
G-5 Co-Pilot,Something you need? Perhaps I could help.
Richard Parker,"Oh, Id just like to radio ahead and make sure everythings in order for when we land. [as Richard rises the co-pilot grabs a gun from a drawer and points it at Richard]"
G-5 Co-Pilot,"I think we both know thats not an option, Dr. Parker. [Richard sits back down and as the co-pilot locks Mary in the bathroom Richard quickly uploads his files on the computer, the co-pilot then puts on a parachute and Mary tries to come out of the bathroom]"
Mary Parker,Richard!
G-5 Co-Pilot,They say youre a genius.
Mary Parker,"Richard! [the co-pilot grabs Richards laptop, Richard goes to stop stop him but the co-pilot points his gun at him]"
G-5 Co-Pilot,Not if you thought you could escape.
Mary Parker,Richard! [suddenly Mary bursts out of the bathroom]
Richard Parker,"Mary! [Richard attacks the co-pilot and punches him, a struggle ensues and Mary is shot] Mary! [Richard knocks out the co-pilot, grabs his gun and goes to help Mary] Mary. Its okay, its okay, its okay. [he places Mary in a seat]"
Richard Parker,"I got you. Are you okay? Okay. Im just gonna make you safe. [he straps the seat belt on to her and gives her an oxygen mask to breath through, but she pushes his hand away] Its done. Breathe. Mary?"
Mary Parker,Roosevelt.
Richard Parker,What?
Mary Parker,Roosevelt. [Richard grabs the laptop from the floor and quickly opens it to continue the process of uploading the files and then goes over to Mary]
Richard Parker,"Its back up. Its back up. Everythings fine. Hey, hey, hey. Were going to be alright, okay? Listen to me... [just then the co-pilot gets up and attacks Richard, as hes hitting Richard we see that the pilot is dead and the plane falls into a steep dive, as the co-pilot and Richard are fighting he manages to shut the laptop, seeing that Mary is dead, Richard grabs hold of the co-pilots gun and shoots a window making the co-pilot fly out of the plane, Richard manages to hold onto the laptop and finishes the process of uploading the file, he then looks at Mary as the plane plummets] [we see Peter in his Spider-Man suit falling to earth, then we follow him as makes his way though the city using the city enjoying himself]"
Peter Parker,"What have you got for me today, New York? [as he goes past a helicopter he overhears their radio]"
Helicopter Radio,An OsCorp truck carrying plutonium has been hijacked. A police chase is in...
Peter Parker,"Alright, lets get to work. [Peter springs down to help as we see a big tow truck driving through the city by a Russian as police cars are chasing him]"
