narrator,movie opens with a 4 year-old Peter Parker playing hide and seek and looking for his father
Peter Parker - age 4,"Five, four, three, two, one. Ready or not, here I come. [Peter goes into his fathers study and sees that it has been tossed and gets scared] Dad! Dad! [Peters father enters looking concerned, he pulls out a drawer from his desk and removes a false bottom hiding a file, he takes the file, wipes off the equations on his blackboard, Peters mothers carries Peter out of the office and as they leave we see a spider encased in glass on the desk] [after taking Peter to his uncle Ben and Aunt Mays house]"
Richard Parker,Youre gonna stay with your Aunt May and and Uncle Ben for a little while.
Peter Parker - age 4,"I wanna go with you. [Richard kisses Peter, then Peters mother tenderly strokes Peters face as she cries and gives instructions to May]"
Mary Parker,He doesnt like crust on his sandwiches and he likes to sleep with a little light on at night.
Richard Parker,Come on.
Peter Parker - age 4,Dad?
Richard Parker,"Be good. Richard turns and walks out of the house with Peters mother] [we see Peter, now a teenager, putting up his photo of the debate team and as hes doing this he gets hit in the head with a basketball thrown by the school bully, Flash Thompson, who laughs at Peter and tries to scare Peter before walking off, as Peter walks down the school hallway he gets approached by a student]"
Hot Girl,"Hey, its uh...Peter, right?"
Peter Parker,Mmhmm.
Hot Girl,I really like your photos.
Peter Parker,"Oh, thanks."
Hot Girl,"Uh..listen, are you busy Friday night?"
Peter Parker,Uh... [Peter looks speechless then shakes his head]
Hot Girl,"Cool! Uh...can you take pictures of my boyfriends car. I just, you know, I really wanna frame a good one for his Birthday."
Peter Parker,"Thats really nice of you. Wow, thats such a nice thought. Um...yeah, Ill have a look at the old uh...the old schedule."
Hot Girl,"Okay. [at lunch in the school yard, Peter sees Flash bullying another kid, shoving his face in his food, and all the other kids around him chanting along for the kid to eat the food]"
Flash Thompson,"Hey, Parker, come on! Get a picture of this, come on."
Peter Parker,"Im not gonna take a picture of this. Put him down, man. Put his down, man. [to the kid] Dont eat it. Dont eat it."
Flash Thompson,"Take the picture, Parker!"
Peter Parker,"Put him down, Flash."
Flash Thompson,Take a picture.
Peter Parker,"Put him down! Eugene! [the other students laugh, Flash drops the kid and suddenly punches Peter] Get up! Come on! Come on! [Flash kicks Peter in the stomach and Peter doubles up in pain]"
Peter Parker,Im still not taking the picture.
Flash Thompson,"Stay down, Parker! [Flash turns to the crowd of students and starts shouting] Who wants one more! Huh? Huh? [Gwen who was sitting on her own in the year, walks over and calmly intervenes] Who wants one more! Huh? Huh? [Gwen who was sitting on her own in the year, walks over and calmly intervenes]"
Gwen Stacy,"Flash! Flash, are we still on for after school today? My house, three thirty? I hope youve been doing your homework. Last time I was very disappointed in you."
Flash Thompson,"Okay, listen..."
Gwen Stacy,"No, Flash, how about we go to class, hmm? How about it?"
Flash Thompson,"Whatever. [the school bell rings, Flash turns and walks off, Gwen gives Peter a look before walking off, Peter then finds his camera which is broken] ]later in class, after the Flash bullying incident]"
Gwen Stacy,"I thought that was great, what you did back there. It was stupid, but it was great. You should probably go to the nurse, you might have a concussion. Whats your name?"
Peter Parker,You dont know my name?
Gwen Stacy,"No, I know your name. I just wanna know if you know your name."
Peter Parker,Peter...Parker. Peter Parker.
Gwen Stacy,"Okay, good. [she smiles and turns her face from Peter, Peter gives a longing look] Id still go to the nurse though."
Peter Parker,"Youre Gwen, right?"
Gwen Stacy,"Gwen Stacy. [later at home with his aunt, referring to his beat up looking face]"
Aunt May,"Oh, my God! What happened to your face?"
Peter Parker,"Oh, Im alright. I just...I fell, skating. Its alright. [Peters uncle walks into the kitchen carrying an looking box]"
Uncle Ben,[to Peter] What happened to you?
Uncle Ben,What happened to you?
Aunt May,"He fell. Why you kids ride those things, Ill never know."
Uncle Ben,Cause its stupid and dangerous. Remember when we were stupid and dangerous?
Aunt May,No.
Uncle Ben,"Trust me, we were."
Peter Parker,"Good to know. [referring to his uncles rolled up trousers and bare feet] Hey, wheres the flood?"
Uncle Ben,"Follow me, Ill show you."
Peter Parker,You serious?
Uncle Ben,"Yes! [Peter follows his uncle to the basement] [in the basement, showing Peter the flood] I think its a condenser tray."
Peter Parker,"No, too much water for the condenser tray or the heat exchange tubing. This has gotta be the filling."
Uncle Ben,Thats the only thing that makes sense then. Can you fix it?
Peter Parker,"No, not tonight. Ill go by the hardware store tomorrow."
Uncle Ben,"Good deal. Meanwhile, put this on your face. [he give Peter an ice pack] How does the other guy look? [Peter doesnt reply]"
Peter Parker,"No, no."
Uncle Ben,"I wouldnt tell your Aunt May. Id pity the poor kid whod have to suffer her wrath. [Peters uncle starts going back upstairs] Hey, before you come up, see if theres anything else worth saving."
Peter Parker,"Yeah. [as Peter looks around the basement he notices a leather briefcase that belonged to his father and takes it] [after finding his fathers briefcase, he takes it to his room, he examines the briefcase further and finds a secret pocket that contains a folder of his fatherâ€™s equations, the main equation is marked with the symbol of two zeros crossed with diagonal lines] What is this? [reading from the notes in the file] Zero, zero, Decay Rate Algorithm. [theres a knock on his bedroom door] Yeah, one sec! One sec! [Peter quickly hides the briefcase and unlocks his door] Come in."
Uncle Ben,You okay?
Peter Parker,"Yeah, whats up? [referring to Peters father] Oh, my God! You look just like him. [Peter takes off his glasses]"
Uncle Ben,May I come in?
Peter Parker,Yeah.
Uncle Ben,"Listen, um...I dont have much education, you know, Peter. Hell, I stopped being able to help with your homework when you were ten. What Im trying to say is, I know its been rough for you without your dad. And I know we dont talk much about them."
Peter Parker,"Yeah, its fine."
Uncle Ben,"No, it is not alright. I wish I could change it, but I cant. [referring to photo of Gwen that Peter has on his computer screen] Shes pretty. [as Peters uncle is about to leave Peters room]"
Peter Parker,Uncle Ben?
Uncle Ben,Yeah?
Peter Parker,"Youre a pretty great dad, alright? [Peters uncle smiles] [after Peter researches Connors online, he finds that he is working on cross-species genetics at OsCorp and Peter goes to OsCorp Tower]"
Receptionist,Excuse me?
Peter Parker,What?
Receptionist,Can I help you?
Peter Parker,"Oh, uh...I dont know. Im here...Im here to see Dr. Connors."
Receptionist,Right. Youll find yourself to the left. [Peter looks at her blankly] You are here for the internship?
Peter Parker,Yeah. Yeah.
Receptionist,Okay. Youll find your badge to the left. [Peter looks to the left and sees the name badges]
Peter Parker,Oh!
Receptionist,Are you having trouble finding yourself?
