narrator,first lines
jane foster,wait for it.
darcy lewis,can i turn on the radio?
jane foster,no!
erik selvig,"jane, you cant keep doing this."
jane foster,the last seventeen occurrences had been predictable to this second! [she checks through her notebook]
erik selvig,"jane, youre an astrophysicist, not some storm chaser!"
jane foster,"im telling you, theres a connection between these atmosphere disturbances and my research. eric, i...i wouldnt ask you to fly out here if i wasnt absolutely sure. [going onto the roof of their vehicle to get a clearer look] god!"
erik selvig,i thought you said it was a subtle aurora!
jane foster,[to darcy] go!
narrator,darcy suddenly starts the car and speeds towards the light
jane foster,[to the body thats just dropped to the ground from the sky] do me a favor and dont be dead! please! [looking up at the sky] where did he come from?
odin,[voice over] once mankind accepted a simple truth; that they were not alone in this universe. some worlds man believed home to their gods. others they new to fear. from around the cold and darkness came the frost giants. threatening to plunge the mortal world into a new ice age.
narrator,humans are attacked and frozen by frost giants
odin,[voice over] but humanity would not face this threat alone.
narrator,asgardians led by odin arrive on jotunheim
odin,"{voice over] our armies drove the frost giants back into the heart of their own world. the cost was great. in the end, their king fell. and the source of their power was taken from them."
narrator,"odin strikes down laufey, and steals the casket of ancient winters"
narrator,asgard is shown
odin,"[voice over] with the last great war ended, we withdrew from the other worlds and returned home at the realm eternal, asgard. and here we remain as the beacon of hope. shining out across the stars. and though we have fallen into mans myths and legends, it was asgard and its warriors that brought peace to the universe."
narrator,"odin, young thor, and young loki are walking through the treasure vault"
odin,but the day will come when one of you will have to defend that peace.
young loki,do the frost giants still live?
young thor,"when im king, ill hunt the monsters down and slay them all! just as you did, father."
odin,"a wise king, never seeks out war. but...he must always be ready for it. [he walks away and the boys run to catch up with him]"
young thor,"im ready, father."
young loki,so am i!
odin,only one of you can ascend to the throne. but both of you were born to be kings!
narrator,at thors coronation
odin,"thor odinson, my heir, my first born. so long entrusted with the mighty hammer, mjöllnir, forged in the heart of a dying star. its power has no equal! its a weapon to destroy or as a tool to build. it is a fit companion for a king. i have defended asgard, and the lives of the innocent across my realms in the time of the great beginning."
narrator,"during thors coronation, frost giant freeze pillars in the vault"
odin,do you swear to guard the nine realms?
thor,i swear.
odin,and do you swear to preserve the peace?
thor,i swear.
odin,do you swear to cast aside your selfish ambition and to pledge yourself only to the good of the realms?
thor,i swear!
odin,"and on this day, i odin, all-father, will proclaim you... [after finding out the frost giants have broke into their weapons vault]"
narrator,the frost giants steal take out the guards
odin,frost giants.
narrator,the frost giants take the casket of ancient winters
narrator,odin hits his spear against the floor which echoes
narrator,"in the vault, the destroyer comes out of its room and takes out the frost giants, takes back the casket, sets it back in its original place, and enters its room again"
narrator,"thor, odin, and loki have entered the vault"
thor,the jotuns must pay for what theyve done!
odin,"they have paid. with their lives. to destroy it at its work, the casket is safe and all is well."
thor,all is well? they broke into the weapons vault! if the frost giants have stolen even one of these relics...
odin,they didnt!
thor,well i want to know why?
odin,"i have a truce with laufey, king of the jotuns."
thor,he just broke your truce! they know you are vulnerable.
odin,what action would you take?
thor,march into jotunheim as you once did. teach them a lesson. break their spirits so theyll never dare to cross our borders again.
odin,youre thinking only as a warrior.
thor,"well, this was an act of war!"
odin,"it was the act of but a few, doomed to fail."
thor,look at how far they got!
odin,we will find the breach in our defenses and it will be sealed.
thor,as king of asgard...
odin,but youre not king! not yet.
narrator,thor is then seen flipping banquet tables and sits down on a step
narrator,loki rounds the corner to join him
thor,"its unwise to be in my company now, brother. this was to be my day of triumph."
loki,"itll come. in time. if its any consolation, i think youre right. about the frost giants, about laufey, about everything. if they found a way to penetrate asgards defenses once, whos to say they wont try again. next time with an army."
thor,exactly!
loki,theres nothing you can do without defying father.
narrator,"volstagg, frandral, hogun, and sif walk in"
volstagg,what happened in here?
loki,theres nothing you can do without defying father.
narrator,thor gives him a knowing look
loki,"no! no, no, no, no, no! i know that look!"
thor,its the only way to ensure the safety of our borders!
loki,"thor, its madness!"
volstagg,madness? what sort of madness?
thor,were going to jotunheim.
fandral,"what? this isnt like a journey to earth, where you summon a little lightning and thunder, the mortals worship you as a god! this is jotunheim."
thor,my father fought his way into jotunheim. defeated their armies and took their casket! we would just be looking for answers.
sif,it is forbidden!
thor,"my friends, have you forgotten all that we have done together? fandral, hogun, who led you into the most glorious battles?"
hogun,you did.
thor,"and volstagg, to delicacies so succulent you though youd died and gone to valhalla?"
volstagg,you did.
thor,yes! and who proved wrong all who scoffed at the idea that a young maiden could be one of the fiercest warriors this realm has ever known?
sif,i did!
thor,"true, but i supported you, sif."
narrator,he turns to look at all of the
thor,"my friends, were going to jotunheim."
narrator,they are seen riding to the bifrost
loki,good heimdall?
heimdall,youre not dressed warmly enough. do you think that you can deceive me?
loki,you must be mistaken...
thor,"enough! heimdall, may we pass?"
heimdall,never has an enemy slipped my watch until this day. i wish to know how that happened?
thor,then tell no one where we have gone until weve returned. understand?
narrator,"thor walks passed heimdall, the others follow behind and volstagg turns to loki"
volstagg,what happened? silver tongue turned to lead?
narrator,the others laugh
heimdall,"be warned. i will honor my sworn oath to protect this realm as its gatekeeper. if you return threatens the safety of asgard by frost, will remain closed to you. and youll be left to die in the cold waste of jotunheim."
volstagg,couldnt you just leave the bridge open for us?
heimdall,"to leave the bridge open would unleash the full power of the bifrost and destroy jotunheim, and with you upon it."
thor,i have no plans to die today.
heimdall,none do.
narrator,heimdall sends them to jotunheim
narrator,as they enter jotunheim
king laufey,"you have come a long way to die, asgardians?"
thor,i am thor odinson.
king laufey,we know who you are.
thor,how did your people get into asgard?
king laufey,the house of odin is full of traitors.
thor,do not dishonor my fathers name with your lies!
king laufey,your father is a murderer and a thief! and why have you come here? to make peace? you long for battle. you crave it! youre nothing but a boy trying to prove himself a man.
thor,well this boy has grown tired of your mockery.
loki,"thor, stop and think! look around you. were out numbered!"
thor,"know your place, brother!"
king laufey,"you know not what your actions would unleash. i do. go, now! while i still allow it."
narrator,he comes walks closer to thor and loki
loki,"we will accept, your most gracious offer."
narrator,"thor looks at laufey, reluctant to leave"
loki,"come on, brother!"
narrator,as thor reluctantly turns to leave the frost giant
frost giant sentry,"[mocking] run back home, little princess."
loki,damn!
narrator,thors hammer extends and he hits the frost giant with it and their battle begins
narrator,just as the frost giants have cornered thor and his friends odin appears
thor,father! lets finish them together!
odin,silence!
narrator,king laufey suddenly extends in front of odin
king laufey,all-father. you look weary.
odin,"laufey, end this now."
king laufey,your boy sought this out.
odin,"youre right. these are the actions of a boy. treat them as such. you and i can end this, here and no. before theres further bloodshed."
king laufey,"we are beyond diplomacy now, all-father. hell get what he came for. war and death."
odin,so be it.
narrator,laufeys icy armor extends and he hits odin off his horse
thor,why did you bring us back?
odin,do you realize what youve done? what youve started?
thor,i was protecting my home!
odin,you cannot even protect your friends! how can you hope to protect a kingdom?
thor,there wont be a kingdom to protect if we are afraid to act! the jotuns must learn to fear me! just as they once feared you.
odin,"thats pride and vanity talking, not leadership. youve forgotten everything i taught you! about a warriors patience."
thor,"while you wait and be patient, the nine realms laugh at us! the old ways are done! youd stand giving speeches while asgard falls!"
odin,"[shouting] you are a vain, greedy, cruel boy!"
thor,[shouting] and you are an old man and a fool!
odin,"yes, i was a fool. to think you were ready."
loki,father...
odin,"[shouts at loki] nay! thor odinson, you have betrayed the express command of your king. through your arrogance and stupidity, you have opened these peaceful realms and innocent lives to the horror and desolation of war!"
narrator,he steps forward to stand in front of thor
odin,you are unworthy of these realms! you are unworthy of your title!
narrator,he strips him of his medals and cape
