erics mom,(shouting in german)
young eric,"mama! (screaming) mama! (screaming) (screaming, grunting) (grunting) (yelling) (as he yells, noises are heard from the gate, and it starts moving on its own and bending forward, as if eric is calling to it) (a soldier knocks eric out with the butt of his gun, while a man watches from inside)"
young charles,mother. what are you... i thought you were a burglar.
charles mom,"i didnt mean to scare you, darling. i was just getting a snack. go back to bed."
narrator,charles goes quiet and stares at his mother
charles mom,"whats the matter? go on, back to bed."
narrator,charles remains silent
charles mom,ill make you a hot chocolate. (charles looks at a picture of him and his mom)
young charles,"who are you? and what have you done with my mother? (echoing) [using his power to speak into mrs. xaviers mind] my mother has never set foot in this kitchen in her life. and she certainly never made me hot chocolate, unless you count ordering the maid to do it. (chuckles softy)"
narrator,suddenly charless mother shifts shape and becomes a young raven
young raven,youre not scared of me?
young charles,i always believed i couldnt be the only one in the world. the only person who was... different. and here you are. charles xavier.
young raven,raven.
young charles,"youre hungry and alone. take whatever you want. weve got lots of food. you dont have to steal. in fact, you never have to steal again."
young raven,(chuckles softy)
narrator,at a nazi concentration camp in poland
narrator,shaw addresses young erik in german in his office in a concentration camp
shaw,"understand this, erik... these nazis, im not like them. genes are the key, yes? but their goals? blue eyes? blonde hair? pathetic."
narrator,he gives him a chocolate bar
shaw,eat the chocolate. its good. want some?
young erik,i want to see my mama.
narrator,shaw addresses young erik in german in his office in a concentration camp
shaw,"genes are the key that unlocks the door to a new age, erik. a new future for mankind. evolution. you know what im talking about? its a simple thing i ask of you. [gestures to a small nazi coin on the desk] a little coin is nothing compared to a big gate. is it?"
narrator,erik attempts to move the coin but fails
narrator,erik tries to move the coin on the desk with his powers but fails
young erik,"(grunting) (sighs, panting) i tried, herr doctor. i cant... i dont... its impossible. (sighs)"
shaw,"the one thing i can say for the nazis is their thehods seem to produce results. (clicking tongue) im sorry, erik."
young erik,mama!
eriks mom,my darling. how are you? nein!
narrator,eriks mother has been been brought to shaws office
shaw,[he gestures to the soldiers to hold her back] heres what were going to do. im going to count to three...
narrator,he opens a drawer and pulls out a gun
shaw,"...and youre going to move the coin. you dont move the coin, i pull the trigger."
narrator,shaw points a gun at eriks mother he points the gun at his mother
shaw,understand?
narrator,erik attempts to move it again without success with a sense of urgency
shaw,one.
young erik,[he looks to his mother] mama...
eriks mom,you can do it.
shaw,two.
narrator,he grows impatient
narrator,erik looks at his mother
eriks mom,everything is alright.
narrator,erik concentrates even harder
young erik,(grunts)
eriks mom,alles ist gut. alles ist gut.
narrator,erik keeps trying to move the coin but fails
shaw,three.
narrator,he shoots and kills eriks mother; trauma angers erik to crush a small metal bell
shaw,yes. wonderful.
narrator,sees erik crush a metal filing cabinet
shaw,excellent.
narrator,erik loses control and crushes the soldiers helmets on their heads before sending all metal objects across the room. schmidt consoles him after he crises
narrator,after his mother is killed a grief stricken erik shows the full extense of his powers
shaw,"outstanding, erik. so we unlock your gift with anger. anger and pain. you and me... were going to have a lot of fun together."
narrator,he leaves the nazi coin in eriks hand and he leaves
narrator,"the title sequence appears and then we see a grown up eric moving the same coin magnetically through his fingers. he looks at shaws picture and magnetically throws the coin at its head, signifying he hasnt forgiven him"
narrator,looking at a beautiful woman in a bar
charles,heterochromia.
amy,a gentlemen would at least offer to buy me a drink first.
narrator,charles turns to the barman
charles,"(chuckles) norman, pint of bitter for me and brandy for the lady, please."
amy,how did you know that?
charles,lucky guess. names xavier. charles xavier. how do you do?
amy,amy.
charles,"heterochromica was in reference to your eyes, which i have to say are stunning. one green, one blue. its a mutation. its a very groovy mutation. ive got news for you, amy. you are a mutant."
amy,"first you proposition a girl, and then you call her deformed. how is that seduction technique working for you?"
charles,ill tell you in the morning.
narrator,amy smiles and charles laughs
charles,"no, no, seriously, though, you mustnt knock it. mutation took us from single-celled organisms to being the dominant form of reproductive life of this planet, infinite forms of variation with each generation, all through mutation."
amy,"then, lets reclaim that word. mutant and proud."
charles,chin-chin. hey.
narrator,"raven, who was watching and listening, walks over and is clearly jealous"
raven,hi. guess i have to buy my own drink.
charles,im sorry. one cola.
amy,[to raven] charles here was just tell me that im like one of the first sea creatures that grew legs.
charles,tiny bit sexier.
amy,(chuckles)
charles,im sorry. this is my sister raven.
raven,hi.
amy,amy. and what do you study?
raven,waitressing.
amy,ah.
narrator,raven turns one of her eyes to their natural yellow color
amy,"oh, look, you have heterochromia, too."
charles,sorry. what?
amy,look at her eye.
