narrator,"black sounds of a train rolling to a halt, a shrill whistle. ext. camp - day up on the door of a weathered cattle car as a german soldier steps into frame wearing that familiar gray of the all-too familiar era. he throws the door to reveal a mass of huddled and frightened people inside. the words are not necessary. the language is not ours and the images say enough. men, women and children are herded off the train like cattle toward a large open yard. there they huddle until the germans begin to shout and shove through the mob. ext. fence corridor - day we are looking up at rows and rows of fences topped with barbed wire all designed to create a separator for the thousands of jew who pour through each day. then we see the eyes themselves that look up at them. a little boy. a boy who will not die this day. a boy who will live to see the end of the war and the world of the future. he stares at the metal wire with an unusual fascination. the boy looks up at his worried parents - a sturdy- looking couple who try to smile and comfort him. the corridor comes to a junction where it splits in several different directions. soldiers here push the mob using rifles as pikes, screaming and terrorizing the lot of them. suddenly it is clear what they are doing. they are dividing the mob into smaller groups. soon, the groups themselves become evident. men from women. children from adults. the family tries to stay together, clinging to one another dearly, until finally, they are put upon by a number of gray uniforms and pulled apart. the boy is dragged screaming his feet no longer touching the ground. two soldiers carry him as they follow the back of a large column of children being led through a gate of barbed wire so dense, it resembles wool. the gate closes and the boy looks back to see his parents - along with many others - being restrained by a number of soldiers. the screaming is deafening. and the boys can be heard above it all. the soldiers seem to be having a hard time carrying such a frail child. the farther they get from the fence, the heavier he seems to get, until they are literally pulling him as though he were anchored to something. his outstretched fingers claw at the thin air and he screams until the blood in his face is blue. the soldiers are literally pulled back a step and they begin to slip in the mud. they look at one another and then over their shoulders as they hear a sound. a groaning, creaking sound. and then the unmistakable twang of wire stretched to snapping. angle on: the fence. the gate that separates the parents. it bows toward them like iron filings to a magnet, and several of the strands of barbed wire have given way. the boy continues to scream as all the other faces simply freeze and wonder. one of the soldiers pulls a wooden baton from his belt and brains the boy violently. he slumps and the soldiers carrying him spring forward as through a rope that was holding them back has been cut. they nearly fall, looking at one another with some concern, some confusion.... then they follow the line of children that has gotten ahead of them. angle on: the boys parents watch him as he -- as they, are taken away. the rest of their story is as you would expect. ext. sky - day bright, bright blue framing a blinding white sun. pan down again to reveal: the cracked, drought-stricken soil of nowhere. titles: kenya - 1978 a group of children at play. tribal children who, without the help of the titles, could be from any age. they run through a tiny village of tents, playing. every child holds a long reed-like stick and they chase each other playing their version of tag. as each child is tapped, they chase the others. each trying to avoid being ""it"", though never going far enough away to miss the fun. one girl in particular. a pretty girl of 12, with unusual white hair, is tagged and immediately shunned. she chases kids this way and that, but to no avail. she is not strong enough, nor agile enough, to win. she tumbles and lands on her stick, snapping it. she stands and, when the children see that her stick is broken, they begin to giggle. the giggles become laughter and the laughter becomes a taunt, and before we even realize, the inherent cruelty of children let loose becomes evident. they have now formed a circle, at first avoiding her touch with distance, but now growing tighter with menace. in the unspoken manner of children at prey, the group begins to chant in their native tongue - a song we have not heard but sung in a way none-too inviting. they begin to poke at her with the reeds, driving her back. the girl now moves to the center of the circle, no longer wishing to tag anyone. one devious child seems to get an idea. he takes his stick and smacks it across her shoulder. she turns to face the child and another swings his stick across her back with a solid thwack. before long, mob rule gives way and all the kids are swinging at her and laughing. it grows to the brink of frenzy, the laughing and the shouting not too unlike the noise of the previous scene. so much so, we may miss the first flake of snow. the children certainly do. it is snowing for a good ten seconds before the last of them stops. by then, the snow is thick as flies and wafting down to melt instantly on the hot african soil that has never seen snow before. angle on: adults come out of their huts and in from the fields and the whole of the village is soon gathered around the little girl, staring up from the clear blue sky and the snow that falls from nowhere. from nothing. one by one, all eyes fall on the little girl and the looks of curiosity become looks of fear. of superstition. punctuated by a solid thump. and then another. an old man looks down at his feet and sees a tiny, misshapen ball of ice, no bigger than his eye. he looks at it, bites it, then pops it in his mouth - breath turning to steam. another such chunk of ice pops him on the head. the crowd laughs. they look up again and see that mixed with the snow are tiny pellets of hail, seeming to increase in number as the snow mysteriously wanes. and the pellets are getting larger. until they land as hunks. the white haired girl drops to the ground and covers her head as hailstones the size of baseballs plow into the earth. before long, tents are collapsing and panic ensues. and all along the white haired girl sits huddled in the dust, crying. as hailstones fall in a circle around her, never coming closer than then a few feet or so. int. high school gymnasium - night one more sky. this one a backdrop. cheap paint and tissue paper hung with hooks on a wall just behind the basket on a full court. as we pull back, we see the skyline of new york, crudely made out with its silhouette buildings of dark gray and black - windows of yellow. among the famous landmarks represented is the statue of liberty, complete with a real light bulb burning in the torch. we are at a prom. the theme is rhapsody in blue and the decor has made tragic efforts to show it. the tablecloths are blue, the napkins are blue - far too many of the tuxes are powder blue, and the blue eye shadow is as heavy as expected. peter gabriels ""in your eyes"" gives painful indication of the era, but here it is, nonetheless: southern california - 1986 move across the floor and through the swaying, clutching, sweating dancers to the bathroom. through the door to the usual - int. boys bathroom - night several boys are here, bow ties undone - unclipped in most cases. smoking, drinking from whatever inventive container was used to smuggle in booze. breath freshener and visine are the chaser. some of the guys are rolling joints while others make the sad effort to wave smoke away. who are they kidding? its a fog in here. move down the row of toilet stalls to one in particular. here we find a freckled kid standing in front of mirror, clearly holding himself up from the effect of god knows what. he talks to his friend in the he stall behind him."
freckled kid,"man, whats the matter with you?"
narrator,his friend is on the toilet with his head in his hands. he seems to be in some pain. he is scott summers - age 17.
freckled kid,dude. lighten up. shes just a girl. you just gotta-
scott,"no, my eyes... my eyes are killing me."
narrator,the freckled kid offers a small plastic bottle.
freckled kid,"you want some visine, man?"
scott,my... eyes...
narrator,the freckled kid looks and sees that scotts eyes are watering so badly that tears are literally streaming through his fingers. he goes back to the mirror to look at his own.
scott,... theyre burning...
narrator,the freckled kid turns back to him.
freckled kid,"dude, how much did you smoke?"
scott,i didnt smoke anything.
